Sample	Chr	CopyNumber	SegmentSize	Dist2Centromere	SegVal	LOH	SizeDiploidSeg	ChangepointCN	Dist2NearestCNV	GCcontentSeg
TCGA-02-0001	1	3	74324763	47096482	0.13	0	0	3	493.0	0.56
TCGA-02-0001	1	2	994188	46101801	-0.25	1	994188	3	470.0	0.42
TCGA-02-0001	1	3	46101330	1	0.17	0	0	3	470.0	0.46
TCGA-02-0001	1	3	105217339	1304235	0.14	0	0	3	22524070.0	0.51
TCGA-02-0001	2	3	3881935	88411066	0.53	0	0	10	1646.0	0.54
TCGA-02-0001	2	1	14003	88395417	-0.72	1	0	10	414.0	0.0
TCGA-02-0001	2	3	53191575	35203428	0.56	0	0	10	414.0	0.49
TCGA-02-0001	2	1	17590381	17611801	-0.75	1	0	10	1246.0	0.5
TCGA-02-0001	2	4	8722024	8887015	0.64	0	0	10	176.0	0.54
TCGA-02-0001	2	3	16089066	0	0.55	0	0	10	176.0	0.53
TCGA-02-0001	2	4	10916270	4180978	0.84	0	0	10	854.0	0.48
TCGA-02-0001	2	3	6920037	15104792	0.24	0	0	10	112.0	0.49
TCGA-02-0001	2	3	9256507	22024941	0.29	0	0	10	112.0	0.53
TCGA-02-0001	2	4	1062198	31281784	0.86	0	0	10	273.0	0.54
TCGA-02-0001	2	3	115417313	32344255	0.26	0	0	10	273.0	0.49
TCGA-02-0001	3	3	103040793	0	0.27	0	0	4	4268.0	0.52
TCGA-02-0001	3	1	380060	9585927	-0.63	1	0	4	418.0	0.36
TCGA-02-0001	3	1	30385175	9966405	-0.73	1	0	4	344.0	0.49
TCGA-02-0001	3	3	56947159	40351924	0.29	0	0	4	344.0	0.46
TCGA-02-0001	3	3	7077024	97299615	0.28	0	0	4	532.0	0.49
TCGA-02-0001	4	2	31581137	18065195	-0.22	0	31581137	2	446.0	0.56
TCGA-02-0001	4	1	18856	18045893	-1.93	1	0	2	446.0	0.0
TCGA-02-0001	4	2	159414163	0	-0.2	0	159414163	2	1040.0	0.43
TCGA-02-0001	5	3	1273129	45100613	0.23	0	0	13	33.0	0.62
TCGA-02-0001	5	1	619608	44480972	-0.73	1	0	13	33.0	0.6
TCGA-02-0001	5	3	3119187	41361562	0.25	0	0	13	223.0	0.61
TCGA-02-0001	5	2	44986	41310961	0.3	1	44986	13	2122.0	0.0
TCGA-02-0001	5	1	2322221	38986618	-0.81	1	0	13	2122.0	0.49
TCGA-02-0001	5	3	103438	38879407	0.26	0	0	13	524.0	0.41
TCGA-02-0001	5	1	1173774	37705109	-0.78	1	0	13	524.0	0.46
TCGA-02-0001	5	2	77367337	0	-0.15	0	77367337	13	682.0	0.44
TCGA-02-0001	5	1	7010	36620971	-1.59	1	0	13	682.0	0.0
TCGA-02-0001	5	2	20707221	36631004	-0.15	0	20707221	13	152.0	0.41
TCGA-02-0001	5	4	9320	57338377	0.84	0	0	13	152.0	0.0
TCGA-02-0001	5	2	35733930	57348400	-0.18	0	35733930	13	703.0	0.5
TCGA-02-0001	5	1	2175261	93084010	-0.81	1	0	13	1680.0	0.46
TCGA-02-0001	5	2	36096335	95261153	-0.21	0	36096335	13	1882.0	0.54
TCGA-02-0001	6	2	123118929	0	-0.2	0	123118929	1	2367.0	0.5
TCGA-02-0001	6	2	47780048	61384516	-0.24	0	47780048	1	2367.0	0.48
TCGA-02-0001	7	5	54683556	3293168	1.0	0	0	5	79.0	0.53
TCGA-02-0001	7	3	18183	3274906	0.3	0	0	5	79.0	0.0
TCGA-02-0001	7	4	21961195	0	0.93	0	0	5	6529.0	0.56
TCGA-02-0001	7	5	50322379	15656607	1.02	0	0	5	485.0	0.49
TCGA-02-0001	7	4	31593405	65979471	0.95	0	0	5	485.0	0.54
TCGA-02-0001	7	4	480941	97582088	0.69	0	0	5	9212.0	0.51
TCGA-02-0001	8	1	48802032	0	-0.73	1	0	2	625.0	0.51
TCGA-02-0001	8	1	3884567	1986376	-1.78	1	0	2	625.0	0.45
TCGA-02-0001	8	1	93569670	5880950	-0.73	1	0	2	10007.0	0.51
TCGA-02-0001	9	3	16148411	31022179	0.27	0	0	5	225.0	0.45
TCGA-02-0001	9	2	5711761	25310193	-0.18	1	5711761	5	225.0	0.46
TCGA-02-0001	9	0	351837	24957554	-9.34	1	0	5	802.0	0.59
TCGA-02-0001	9	1	5880890	19070196	-1.72	1	0	5	1965.0	0.42
TCGA-02-0001	9	3	19068230	1	0.28	0	0	5	1965.0	0.53
TCGA-02-0001	9	3	75474423	97354	0.24	0	0	5	18399795.0	0.55
TCGA-02-0001	10	2	135433945	0	-0.16	1	135433945	0	inf	0.51
TCGA-02-0001	11	2	51130224	235632	-0.24	0	51130224	2	1.0	0.55
TCGA-02-0001	11	3	7524968	0	0.44	0	0	2	1.0	0.49
TCGA-02-0001	11	2	76089751	4153373	-0.3	0	76089751	2	1254.0	0.55
TCGA-02-0001	12	3	120795680	0	0.25	0	0	2	1159.0	0.5
TCGA-02-0001	12	1	1319202	83089530	-0.71	1	0	2	1159.0	0.57
TCGA-02-0001	12	2	11508265	84412173	-0.19	0	11508265	2	3441.0	0.56
TCGA-02-0001	13	2	27324782	0	0.02	0	27324782	7	160.0	0.45
TCGA-02-0001	13	1	33300	27324941	-1.15	1	0	7	160.0	0.64
TCGA-02-0001	13	2	3096	27359493	-0.43	0	3096	7	256.0	0.0
TCGA-02-0001	13	1	1254024	27362845	-1.38	1	0	7	68.0	0.43
TCGA-02-0001	13	2	16998	28616937	-0.03	1	16998	7	68.0	0.0
